name,summary,latitude,longitude,contact,description
The National Museum of Oman,Museum of Oman's history & culture,23.6116158,58.5935643,,"The National Museum of the Sultanate of Oman, established by royal decree in 2013 and opened July 30, 2016, is the Sultanate's flagship cultural institution, showcasing the nation’s heritage from the earliest human settlement in the Oman Peninsula some two million years ago through to the present day. "
Mutrah Souq,Storied bazaar with diverse goods,23.6192973,58.5636569,,"Mutrah Souq is one of the oldest markets in Oman, dating back about two hundred years.The market starts at a gate facing the Sea of Oman and Mutrah Corniche and ends with another gate in the city’s old quarters that usually receive the majority of visitors coming from other Omani towns and villages."
Bimmah Sinkhole,Large sinkhole with a wide natural pool,23.036887, 59.070086,,"A lake of turquoise waters, it is 50 m by 70 m wide and approximately 20 m deep. It is only about 600 m away from the sea, between the coastal towns of ?ib?b and Bamah (Bimmah). The sinkhole was formed by a collapse of the surface layer due to dissolution of the underlying limestone.[2] However, locals used to believe this sinkhole in the shape of a water well was created by a meteorite,[3][4] hence the Arabic name Hawiyyat Najm which means ""the deep well of the (falling) star""."
Mutrah Corniche,Waterfront retreat with paths & views,23.6203112,58.5645379,,"Mutrah Corniche is a promenade stretching for 3 kilometres along the waterfront and is lined with restaurants, cafes, and markets. You can see the views of the Oman Port and harbour on one side and the beautiful rock formations of the Hajar Mountains and the Portuguese watchtowers on the other. The northern end of the corniche has a fish market and a dhow harbour. The eastern end of the harbour is dominated by the Mutrah Fort. The Fort is generally closed for visitors. However, its flank can be climbed for more great views of the harbour."
Ras Al Jinz Turtle Reserve,Turtles and nature,22.4244166,59.8306467,,"Located in Ras Al Jinz, the nesting site for green turtles, Ras Al jinz Turtle Reserve offers air-conditioned rooms and cottages with a flat-screen satellite TV. It offers a free private beach area. All accommodations at Ras Al jinz Turtle Reserve features a warm décor. Each cottage is located on a hillock. The private bathroom is fitted with a shower and free toiletries."
Ad Dimaniyat Islands,Protected area with sea turtles & diving,23.8458,58.0905,,"It is composed of nine islands with a total area of 100 hectares (250 acres). The reserve has a rich natural heritage and is replete with several kinds of coral reefs, including some examples that are quite rare. The island is home to a large number of sea turtles that lay their eggs and nest there, as well as a magnet for migratory and indigenous birds."
Al Mirani Fort,"Large, historic fort on the harbor",23.617274,58.593294,,"In the 1552 Capture of Muscat, an Ottoman force consisted in 4 galleons, 25 galleys, and 850 troops attacked the city of Muscat.[1] They captured the city and its fort.[2] The recently built Fort Al-Mirani was besieged for 18 days with one piece of Ottoman artillery brought on top of a ridge. The fort was captured and its fortifications destroyed.["
Al Hoota Cave,Rare species in 2.8-mile-long cave,23.03190994,57.47323608,,"Al Hoota Cave is almost 2 million years old and the only show cave in the Arabian Peninsula that is 4.5 kilometers long. With a wonderful ecosystem consisting of bats, anthropoids, snails and mollusks, the cave is very well protected and preserved.On your tour around the cave, you'll come across four lakes. In these lakes, the rare blind fish, Garra Barreimiae exist. These fish are only found in Oman, UAE and Bahrain. The tour of the cave lasts 45 minutes and covers 500m of the huge cave. 

"
Qurum Beach,Beach,23.625565,58.4798217,,"Qurum Beach stretches for four kilometres (2.5 miles) along the Muscat coastline. Watersports like jet skiing, parasailing and kayaking can be booked at the Crowne Plaza end of the beach. You can also book snorkelling and scuba diving excursions here. There’s no great tidal range and waves are small, so bathing is relatively safe at Qurum Beach. There’s a good selection of international refreshment and dining options along the coast road"
Wadi Dhaiqah,Dam, 23.0870,58.8670.,,"Opened in 2012 the dam was built to collect the periodic rain fall from the high peaks above and control the volume of water flowing through the narrow torrent, ‘dayqah’, to the villages below. This still maintains the ancient “Falaj” irrigation system whilst controlling the surges of water rolling off the hillside. The water lake is 8 kilometres (5 miles) long and can hold 100 million cubic meters of rain water."
Khor Rori,Archeological site with a museum & views,,,,
The Museum of the Frankincense Land,Exhibits on trade history & frankincense,,,,
Musandam Peninsula,Mountainous peninsula with hiking trails,,,,
Mughsail Beach,Popular beach with mountainous headlands,,,,
Muscat Gate Museum,Local history in an old city entryway,,,,
Snake Gorge Canyon,Challenging hiking area in a rocky gorge,,,,
Arabian Oryx Sanctuary,Protected habitat for oryx & gazelles,,,,
Majlis al Jinn,Large cave chamber with a domed ceiling,,,,
Jebel al Harim,Mountain,,,,
Telegraph Island,Island in a mountainous inlet,,,,
Mutrah Fort,History,,,,
Fazayah Beach,Beach,,,,
Jibreen Castle,Richly decorated 17th-century castle,,,,
Wadi Dayqah Dam,,,,,
Qurum Natural Park,"A lake, flowers & a mini amusement park",,,,
Children's Museum,Interactive children's science museum,,,,
The Chedi Muscat,,,,,
Fins Beach,Beach,,,,
Natural History Museum,"Natural history, museum and history",,,,
Bait Al Baranda Museum,Museum with folk art & kids' programs,,,,
Yitti Beach,Sheltered crescent backed by hills,,,,
Musandam Oman,,,,,
Muscat Beach,Beach,,,,
Ayn Razat,Mountain spring & cave with picnic spots,,,,
Wadi Darbat,Nature,,,,
Al Sawadi Beach,Beach,,,,
Bandar Al Khairan Viewpoint,,,,,
Khuriya Muriya Islands,,,,,
Ghalya's Museum of Modern Art,Exhibits reflecting Omani life & culture,,,,
Hawana Aqua Park,Water park,,,,
"Ayn Athum, Salalah",,,,,
Sunaysilah Fort,History,,,,
Khasab Fort,17th-century fort with turrets & views,,,,
Khasab Castle,History and castle,,,,
Omani and French Museum,Exhibits on the nations' diplomacy,,,,
Seebi Island,,,,,
Nizwa Souq,Market and shopping,,,,
Nabi Umran Tomb,Tomb,,,,
Al Kasfah Hot Spring,,,,,
Al Fahal,Scuba diving,,,,
Wadi Shab,Nature,,,,
Wadi Shuwaymiyah,,,,,
Bait Al Safah,Living history museum on Omani culture,,,,
Khor Najd,Nature,,,,
An Naman Zoo,Zoo,,,,
AL-HAZM FORT,History and architecture,,,,
Salalah Gardens Mall Road,,,,,
Asahalah Farms,,,,,
Salalah Port,,,,,
Taqah Castle,History,,,,
AlRiyam Park,,,,,
Khasab Musandam Tours,,,,,
Al Mouj Golf,Golf,,,,
Mughsail Beach,Beach,,,,
Oil and Gas Exhibition Centre,Museum exploring the use of fossil fuels,,,,
Bar al Hikman,"Camping, camels and bird migration",,,,
Jebel Misht,Mountain and climbing,,,,
Al Balid Archeological Site,Ancient mosque ruins & exhibits,,,,
Yiti Beach,Beach,,,,
Sultan Qaboos Mosque,"Monumental, 21st-century mosque",,,,
Al Bustan Beach,,,,,
Marah Land,Amusement park with rides & games,,,,
Mosque Muhammad al-Amin,,,,,
PDO Planetarium,Innovative astronomy shows & exhibits,,,,
Masjid Al Zawawi,"Architecture, art and islamic art",,,,
Falaj Daris Park,Park and garden,,,,
Tiwi Beach,Beach,,,,
Dahariz Beach - Khor End,Beach,,,,
Wadi Tanuf,,,,,
Al Saleel National Park,"Nature, ecotourism and nature reserve",,,,
Wadi Kabir Park,,,,,
Bin Ali's Tomb,,,,,
Quriayat Dam,,,,,
Oman Avenues Mall Masjid,Shopping,,,,
Marneef Cave and Blow Holes,,,,,
Jebel Hafeet,Popular mountain for hiking & picnics,,,,
Bilad Sur Castle,,,,,
Al Ansab Wetland,Nature,,,,
